AustralianPort,ForeignPort,Passengers_Total,Year,Month_num,Route
Sydney,Rome,2642,1985,2,Sydney → Rome
Sydney,San Francisco,4660,1985,2,Sydney → San Francisco
Sydney,Singapore,21534,1985,2,Sydney → Singapore
Sydney,Tokyo,11537,1985,2,Sydney → Tokyo
Sydney,Vancouver,1942,1985,2,Sydney → Vancouver
Sydney,Wellington,5478,1985,2,Sydney → Wellington
Townsville,Auckland,869,1985,2,Townsville → Auckland
Townsville,Bahrain,10,1985,2,Townsville → Bahrain
Townsville,Bombay,1,1985,2,Townsville → Bombay
Townsville,Frankfurt,21,1985,2,Townsville → Frankfurt
Townsville,London,176,1985,2,Townsville → London
Townsville,Rome,28,1985,2,Townsville → Rome
Townsville,Singapore,569,1985,2,Townsville → Singapore
Adelaide,Auckland,2903,1985,3,Adelaide → Auckland
Adelaide,Bahrain,19,1985,3,Adelaide → Bahrain
Adelaide,Bombay,16,1985,3,Adelaide → Bombay
Adelaide,Frankfurt,325,1985,3,Adelaide → Frankfurt
Adelaide,London,3051,1985,3,Adelaide → London
Adelaide,Muscat,22,1985,3,Adelaide → Muscat
Adelaide,Rome,188,1985,3,Adelaide → Rome
Adelaide,Singapore,3921,1985,3,Adelaide → Singapore
Brisbane,Abu Dhabi,11,1985,3,Brisbane → Abu Dhabi
Brisbane,Auckland,12011,1985,3,Brisbane → Auckland
Brisbane,Bahrain,25,1985,3,Brisbane → Bahrain
Brisbane,Bangkok,1198,1985,3,Brisbane → Bangkok
Brisbane,Bombay,70,1985,3,Brisbane → Bombay
Brisbane,Christchurch,4856,1985,3,Brisbane → Christchurch
Brisbane,Frankfurt,294,1985,3,Brisbane → Frankfurt
Brisbane,Hong Kong,2952,1985,3,Brisbane → Hong Kong
Brisbane,Honiara,671,1985,3,Brisbane → Honiara
Brisbane,Honolulu,543,1985,3,Brisbane → Honolulu
Brisbane,Kuala Lumpur,41,1985,3,Brisbane → Kuala Lumpur
Brisbane,London,3022,1985,3,Brisbane → London
Brisbane,Los Angeles,61,1985,3,Brisbane → Los Angeles
Brisbane,Manila,2206,1985,3,Brisbane → Manila
Brisbane,Muscat,1,1985,3,Brisbane → Muscat
Brisbane,Nadi,1201,1985,3,Brisbane → Nadi
Brisbane,Noumea,253,1985,3,Brisbane → Noumea
Brisbane,Port Moresby,3095,1985,3,Brisbane → Port Moresby
Brisbane,Port Vila,359,1985,3,Brisbane → Port Vila
Brisbane,Rome,66,1985,3,Brisbane → Rome
Brisbane,San Francisco,626,1985,3,Brisbane → San Francisco
Brisbane,Singapore,3918,1985,3,Brisbane → Singapore
Brisbane,Suva,131,1985,3,Brisbane → Suva
Brisbane,Tokyo,880,1985,3,Brisbane → Tokyo
Brisbane,Vancouver,254,1985,3,Brisbane → Vancouver
Brisbane,Wellington,1311,1985,3,Brisbane → Wellington
Cairns,Honolulu,529,1985,3,Cairns → Honolulu
Cairns,Los Angeles,93,1985,3,Cairns → Los Angeles
Cairns,Port Moresby,1098,1985,3,Cairns → Port Moresby
Cairns,San Francisco,882,1985,3,Cairns → San Francisco
Cairns,Vancouver,188,1985,3,Cairns → Vancouver
Darwin,Auckland,196,1985,3,Darwin → Auckland
Darwin,Bahrain,3,1985,3,Darwin → Bahrain
Darwin,Bandar Seri Begawan,585,1985,3,Darwin → Bandar Seri Begawan
Darwin,Bombay,3,1985,3,Darwin → Bombay
Darwin,Denpasar,1208,1985,3,Darwin → Denpasar
Darwin,Frankfurt,14,1985,3,Darwin → Frankfurt
Darwin,Jakarta,110,1985,3,Darwin → Jakarta
Darwin,London,184,1985,3,Darwin → London
